;Gasto total (millones de euros);Gasto por persona y día (euros)
   (125) Reino Unido;630,76;146,7
   (126) Alemania;617,42;154,38
   (132) Suiza;84,23;146,52
   Bélgica, Luxemburgo y Países Bajos;173,95;174,92
   Países nórdicos;145,3;161,85
   Resto del mundo;316,21;204,54
2019M05;;
   TOTAL;1.717,54;162,45
   ESPAÑA (Otras CCAA);110,06;103,93
   EXTRANJERO;1.607,48;168,96
   (110) Francia;92,63;163,45
   (115) Italia;35,58;171,26
   (125) Reino Unido;491,11;158,01
   (126) Alemania;478,58;162,46
   (132) Suiza;40,95;171,94
   Bélgica, Luxemburgo y Países Bajos;128,96;169,01
   Países nórdicos;106,37;181,6
   Resto del mundo;233,3;212,42
2019M04;;
   TOTAL;1.089,58;141,38
   ESPAÑA (Otras CCAA);98,2;82,83
   EXTRANJERO;991,38;152,02
   (110) Francia;49,01;146,41
   (115) Italia;25,2;122,6
   (125) Reino Unido;178,04;156,89
   (126) Alemania;413,7;133,64
   (132) Suiza;58,7;147,65
   Bélgica, Luxemburgo y Países Bajos;98,32;178,86
   Países nórdicos;60,99;167,3
   Resto del mundo;107,42;244,79
2019M03;;
   TOTAL;427,04;141,65
   ESPAÑA (Otras CCAA);71,7;83,1
   EXTRANJERO;355,34;165,12
   (110) Francia;7,25;127,6
   (115) Italia;...;...
   (125) Reino Unido;37,37;154,69
   (126) Alemania;199,49;155,11
   (132) Suiza;...;...
   Bélgica, Luxemburgo y Países Bajos;16,46;181,43
   Países nórdicos;...;...
   Resto del mundo;54,1;217,45
2019M02;;
   TOTAL;214,83;126,22
   ESPAÑA (Otras CCAA);46,36;84,34
   EXTRANJERO;168,47;146,19
   (110) Francia;2,76;139,04
   (115) Italia;...;...
   (125) Reino Unido;16,25;125,49
   (126) Alemania;103,42;142,4
   (132) Suiza;...;...
   Bélgica, Luxemburgo y Países Bajos;5,86;148,09
   Países nórdicos;...;...
   Resto del mundo;27,83;181,26
2019M01;;
   TOTAL;187,45;99,12
   ESPAÑA (Otras CCAA);52,22;64,48
   EXTRANJERO;135,24;125,05
   (110) Francia;3,56;83,63
   (115) Italia;...;...
   (125) Reino Unido;14,51;122,12
   (126) Alemania;58,25;114,05
   (132) Suiza;9,66;113,88
   Bélgica, Luxemburgo y Países Bajos;5,71;118,74
   Países nórdicos;...;...
   Resto del mundo;33,3;180,36
2018M12;;
   TOTAL;229,19;121,55
   ESPAÑA (Otras CCAA);41,56;79,01
   EXTRANJERO;187,64;138,01
   (110) Francia;4,31;121,42
   (115) Italia;...;...
   (125) Reino Unido;16,3;144,06
   (126) Alemania;81;143,61
   (132) Suiza;...;...
   Bélgica, Luxemburgo y Países Bajos;13,1;145,37
   Países nórdicos;10,79;149,67
   Resto del mundo;53,7;132,75
2018M11;;
   TOTAL;234,72;106,14
   ESPAÑA (Otras CCAA);51,35;75,83
   EXTRANJERO;183,38;119,52
   (110) Francia;5,4;93,7
   (115) Italia;6,22;97,24
   (125) Reino Unido;25,86;120,69
   (126) Alemania;94,65;111,97
   (132) Suiza;7,33;135,89
   Bélgica, Luxemburgo y Países Bajos;7,81;172,9
   Países nórdicos;8,25;173,54
   Resto del mundo;27,84;134,94
2018M10;;
   TOTAL;1.444,18;137,51
   ESPAÑA (Otras CCAA);99,57;91,63
   EXTRANJERO;1.344,61;142,81
   (110) Francia;51,44;138,85
   (115) Italia;26,46;132,43
   (125) Reino Unido;313,66;134,71
   (126) Alemania;543,58;130,69
   (132) Suiza;81,11;144,37
   Bélgica, Luxemburgo y Países Bajos;90,47;175,66
   Países nórdicos;81,15;151,8
   Resto del mundo;156,75;210,14
2018M09;;
   TOTAL;2.307,05;141,21
   ESPAÑA (Otras CCAA);178,4;81,53
   EXTRANJERO;2.128,65;150,44
   (110) Francia;85,45;147,55
   (115) Italia;121,99;123,26
   (125) Reino Unido;505,26;139,13
   (126) Alemania;676,59;142,15
   (132) Suiza;89,04;144,39
   Bélgica, Luxemburgo y Países Bajos;154,05;150,76
   Países nórdicos;167,67;169,46
   Resto del mundo;328,6;210,39
2018M08;;
   TOTAL;3.114,69;148,19
   ESPAÑA (Otras CCAA);334,83;86,54
   EXTRANJERO;2.779,86;162,1
   (110) Francia;183,31;145,56
   (115) Italia;218,47;156,8
   (125) Reino Unido;779,41;152,76
   (126) Alemania;740,07;150,98
   (132) Suiza;70,45;160,32
   Bélgica, Luxemburgo y Países Bajos;221,48;174,35
   Países nórdicos;159,82;167,05
